client_id,quantity,price,category_ids,date,message_id
1515915625468169594,1,1999.0,"['4', '28', '57', '431']",2022-05-16,1515915625468169594-4301-627b661e9736d
1515915625468169594,1,2499.0,"['4', '28', '57', '431']",2022-05-16,1515915625468169594-4301-627b661e9736d
1515915625471138230,1,6499.0,"['4', '28', '57', '431']",2022-05-16,1515915625471138230-4437-6282242f27843
1515915625471138230,1,4999.0,"['4', '28', '244', '432']",2022-05-16,1515915625471138230-4437-6282242f27843
1515915625471138230,1,4999.0,"['4', '28', '49', '413']",2022-05-16,1515915625471138230-4437-6282242f27843
1515915625471640575,1,3499.0,"['2', '18', '258', '441']",2022-05-16,1515915625471640575-4301-627b661b67ac3
1515915625490211585,1,1699.0,"['2', '18', '341', '1311']",2022-05-16,1515915625490211585-4301-627b661843283
1515915625490739153,1,1999.0,"['2', '18', '123', '451']",2022-05-16,1515915625490739153-4172-626b943cc789b
1515915625491478747,1,999.0,"['5562', '5631', '5549', '667']",2022-05-16,1515915625491478747-4273-6274ceb769d59
1515915625491651493,1,699.0,"['5562', '5630', '5649', '678']",2022-05-16,1515915625491651493-4437-6282242f2a9e2
1515915625491757718,1,2199.0,"['4', '28', '57', '431']",2022-05-16,1515915625491757718-4301-627b661681560
1515915625491869271,2,599.0,"['4', '27', '350', '1392']",2022-05-16,1515915625491869271-2090-61a72488d6a0f
1515915625491869271,2,599.0,"['4', '27', '350', '1392']",2022-05-16,1515915625491869271-2090-61a72488d6a0f
1515915625493306434,1,199.0,"['4', '28', '44', '490']",2022-05-16,1515915625493306434-4172-626b944176e60
1515915625493306434,1,799.0,"['2', '18', '267', '443']",2022-05-16,1515915625493306434-4172-626b944176e60
1515915625501479953,1,3299.0,"['4', '28', '213', '417']",2022-05-16,1515915625501479953-4301-627b661a9c017
1515915625505035266,1,299.0,"['5562', '5589', '5584', '1786']",2022-05-16,1515915625505035266-4301-627b66271aa2d
1515915625505035266,1,199.0,"['5562', '5589', '5584', '1795']",2022-05-16,1515915625505035266-4301-627b66271aa2d
1515915625505035266,1,399.0,"['5562', '5630', '5699', '550']",2022-05-16,1515915625505035266-4301-627b66271aa2d
1515915625559342708,1,2499.0,"['4', '28', '57', '431']",2022-05-16,1515915625559342708-4273-6274cebd2d347
1515915625566606509,1,349.0,"['5562', '5634', '5579', '710']",2022-05-16,1515915625566606509-4301-627b66245401d
1515915625566606509,1,299.0,"['5562', '5634', '5579', '710']",2022-05-16,1515915625566606509-4301-627b66245401d
1515915625566606509,1,299.0,"['5562', '5634', '5579', '710']",2022-05-16,1515915625566606509-4301-627b66245401d
1515915625566606509,1,999.0,"['5562', '5634', '5568', '957']",2022-05-16,1515915625566606509-4301-627b66245401d
1515915625566606509,1,399.0,"['5562', '5634', '5693', '636']",2022-05-16,1515915625566606509-4301-627b66245401d
1515915625568837141,1,1499.0,"['2', '18', '344', '445']",2022-05-16,1515915625568837141-3401-6230443f82be9
1515915625575547398,1,249.0,"['4', '27', '353', '840']",2022-05-16,1515915625575547398-4438-62822b35360b7
1515915625614212697,1,1499.0,"['4', '28', '343', '425']",2022-05-16,1515915625614212697-4301-627b661ab7f64
1515915625684011633,1,3599.0,"['2', '18', '258', '441']",2022-05-16,1515915625491871768-3948-62592654633be
1515915625730423268,1,1199.0,"['4', '28', '57', '431']",2022-05-16,1515915625490751146-4301-627b6626b6d85
1515915625776110064,1,1299.0,"['4', '31', '326', '505']",2022-05-16,1515915625468120968-4273-6274ceb961997
1515915625776110064,1,2199.0,"['4', '28', '260', '420']",2022-05-16,1515915625468120968-4273-6274ceb961997
1515915625783059271,1,1999.0,"['5562', '5631', '5622', '560']",2022-05-16,1515915625783059271-4346-627ca60b126d0
1515915625783059271,1,1499.0,"['5562', '5631', '5549', '608']",2022-05-16,1515915625783059271-4346-627ca60b126d0
1515915625783059271,1,2999.0,"['5562', '5631', '5622', '560']",2022-05-16,1515915625783059271-4346-627ca60b126d0
1515915625783059271,1,899.0,"['4', '28', '49', '413']",2022-05-16,1515915625783059271-4346-627ca60b126d0
1515915625468061099,1,299.0,"['4', '28', '290', '424']",2022-05-17,1515915625468061099-4439-62834141aa538
1515915625468063026,1,2699.0,"['2', '18', '212', '658']",2022-05-17,1515915625468063026-4439-628341397ba7a
1515915625468063026,1,1999.0,"['2', '18', '212', '658']",2022-05-17,1515915625468063026-4439-628341397ba7a
1515915625468063772,1,999.0,"['4', '27', '350', '1392']",2022-05-17,1515915625468063772-4439-6283413723865
1515915625468063772,1,2199.0,"['4', '28', '260', '420']",2022-05-17,1515915625468063772-4439-6283413723865
1515915625468070175,1,2199.0,"['4', '27', '142', '496']",2022-05-17,1515915625468070175-4439-6283414668daa
1515915625468070175,1,2199.0,"['4', '27', '142', '496']",2022-05-17,1515915625468070175-4439-6283414668daa
1515915625468073780,1,3499.0,"['4', '28', '260', '420']",2022-05-17,1515915625468073780-4439-6283415b328cd
1515915625468073780,1,2599.0,"['4', '28', '213', '436']",2022-05-17,1515915625468073780-4439-6283415b328cd
1515915625468073782,1,1999.0,"['4', '28', '275', '421']",2022-05-17,1515915625468073782-4439-62834134bfe7e
1515915625468078794,1,2999.0,"['4', '28', '213', '417']",2022-05-17,1515915625468078794-4439-6283412951e18
1515915625468078794,1,3999.0,"['4', '28', '213', '417']",2022-05-17,1515915625468078794-4439-6283412951e18
1515915625468078944,1,2999.0,"['4', '28', '213', '436']",2022-05-17,1515915625468078944-4439-62834140ea782
1515915625468085133,1,2999.0,"['4', '28', '213', '436']",2022-05-17,1515915625468085133-4439-62834130be8ff
